Promotion,Events,Date,Venue,City,Attendance,Total Gate,Buyrate
Ultimate Fighting Championship,UFC Fight Night: Brunson vs. Machida,"October 28, 2017 (2017-10-28)",Ginásio do Ibirapuera,"São Paulo, Brazil","10,265",,
Ultimate Fighting Championship,UFC Fight Night: Cowboy vs. Till,"October 21, 2017 (2017-10-21)",Ergo Arena,"Gdańsk, Poland","11,138","$677,000",
Ultimate Fighting Championship,UFC 216,"October 7, 2017 (2017-10-07)",T-Mobile Arena,"Paradise, Nevada","10,638","$677,999.50","200,000"
Ultimate Fighting Championship,UFC Fight Night: Saint Preux vs. Okami,"September 23, 2017 (2017-09-23)",Saitama Super Arena,"Saitama, Japan","8,571",,
Ultimate Fighting Championship,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017 (2017-09-16)",PPG Paints Arena,"Pittsburgh, Pennsylvania","7,005","$396,190.75",
Ultimate Fighting Championship,UFC 215,"September 9, 2017 (2017-09-09)",Rogers Place,"Edmonton, Alberta, Canada","16,232","$2,028,307","100,000"
Ultimate Fighting Championship,UFC Fight Night: Volkov vs. Struve,2 September 2017 (2017-09-02),Rotterdam Ahoy,"Rotterdam, Netherlands","10,224","$900,000",
Ultimate Fighting Championship,UFC Fight Night: Pettis vs. Moreno,5 August 2017 (2017-08-05),Arena Ciudad de México,"Mexico City, Mexico","10,172",,
Ultimate Fighting Championship,UFC 214,"July 29, 2017 (2017-07-29)",Honda Center,"Anaheim, California","16,610","$2,448,870","860,000"
Ultimate Fighting Championship,UFC on Fox: Weidman vs. Gastelum,"July 22, 2017",Nassau Veterans Memorial Coliseum,"Uniondale, New York","11,918","$1,088,332",
Ultimate Fighting Championship,UFC Fight Night: Nelson vs. Ponzinibbio,16 July 2017 (2017-07-16),The SSE Hydro,"Glasgow, Scotland","10,589","$1,200,000",
Ultimate Fighting Championship,UFC 213,"July 8, 2017 (2017-07-08)",T-Mobile Arena,"Paradise, Nevada","12,834","$2,400,000","150,000"
Ultimate Fighting Championship,UFC Fight Night: Chiesa vs. Lee,"June 25, 2017 (2017-06-25)",Chesapeake Energy Arena,"Oklahoma City, Oklahoma","7,605","$549,302",
Ultimate Fighting Championship,UFC Fight Night: Holm vs. Correia,"June 17, 2017",Singapore Indoor Stadium,Singapore,"8,414","$839,300",
Ultimate Fighting Championship,UFC Fight Night: Lewis vs. Hunt,"June 11, 2017 (2017-06-11)",Spark Arena,"Auckland, New Zealand","8,649","$1,150,428 NZD",
Ultimate Fighting Championship,UFC 212,"June 3, 2017",Jeunesse Arena,"Rio de Janeiro, Brazil","15,412",,
Ultimate Fighting Championship,UFC Fight Night: Gustafsson vs. Teixeira,"May 28, 2017 (2017-05-28)",Ericsson Globe,"Stockholm, Sweden","12,668","$1,920,000",
Ultimate Fighting Championship,UFC 211,"May 13, 2017",American Airlines Center,"Dallas, Texas","17,834","$2,662,645",
Ultimate Fighting Championship,UFC Fight Night: Swanson vs. Lobov,"April 22, 2017 (2017-04-22)",Bridgestone Arena,"Nashville, Tennessee","10,144","$755,180",
Ultimate Fighting Championship,UFC on Fox: Johnson vs. Reis,"April 15, 2017",Sprint Center,"Kansas City, Missouri","12,171","$1,081,193 ",
Ultimate Fighting Championship,UFC 210,"April 8, 2017",KeyBank Center,"Buffalo, New York","17,110","$2,000,000 ","300,000"
Ultimate Fighting Championship,UFC Fight Night: Manuwa vs. Anderson,18 March 2017,The O2 Arena,"London, England","15,761","$2,015,777",
Ultimate Fighting Championship,UFC Fight Night: Belfort vs. Gastelum,"March 11, 2017",Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","14,069",,
Ultimate Fighting Championship,UFC 209,"March 4, 2017",T-Mobile Arena,"Las Vegas, Nevada","13,150","$2,385,230",
Ultimate Fighting Championship,UFC Fight Night: Lewis vs. Browne,"February 19, 2017 (2017-02-19)",Scotiabank Centre,"Halifax, Nova Scotia, Canada","8,123","$575,832",
Ultimate Fighting Championship,UFC 208,"February 11, 2017",Barclays Center,"Brooklyn, New York","15,628","$2,275,105",
Ultimate Fighting Championship,UFC Fight Night: Bermudez vs. The Korean Zombie,"February 4, 2017 (2017-02-04)",Toyota Center,"Houston, Texas","8,119","$611,133",
Ultimate Fighting Championship,UFC on Fox: Shevchenko vs. Peña,"January 28, 2017",Pepsi Center,"Denver, Colorado","13,233","$1,020,434",
Ultimate Fighting Championship,UFC Fight Night: Rodríguez vs. Penn,"January 15, 2017 (2017-01-15)",Talking Stick Resort Arena,"Phoenix, Arizona","11,589","$913,372.75",
Ultimate Fighting Championship,UFC 207,"December 30, 2016 (2016-12-30)",T-Mobile Arena,"Paradise, Nevada","18,533","$4,750,000","1,100,000"
Ultimate Fighting Championship,UFC on Fox: VanZant vs. Waterson,"December 17, 2016 (2016-12-17)",Golden 1 Center,"Sacramento, California","10,525","$1,238,992",
Ultimate Fighting Championship,UFC 206,"December 10, 2016 (2016-12-10)",Air Canada Centre,"Toronto, Ontario, Canada","18,057","$1,843,101",
Ultimate Fighting Championship,UFC Fight Night: Lewis vs. Abdurakhimov,"December 9, 2016 (2016-12-09)",Times Union Center,"Albany, New York","6,216","$411,000",
Ultimate Fighting Championship,UFC Fight Night: Whittaker vs. Brunson,"November 27, 2016 (2016-11-27)",Rod Laver Arena,"Melbourne, Australia","13,721","2,200,000 AUD",
Ultimate Fighting Championship,UFC Fight Night: Bader vs. Nogueira 2,"November 19, 2016 (2016-11-19)",Ginásio do Ibirapuera,"São Paulo, Brazil","9,028",,
Ultimate Fighting Championship,UFC Fight Night: Mousasi vs. Hall 2,19 November 2016,The SSE Arena,"Belfast, Northern Ireland","7,222","$850,000",
Ultimate Fighting Championship,UFC 205,"November 12, 2016 (2016-11-12)",Madison Square Garden,"New York City, U.S.","20,427","$17,700,000","1,300,000"
Ultimate Fighting Championship,UFC Fight Night: Lamas vs. Penn,"October 15, 2016 (cancelled)",Mall of Asia Arena,"Pasay, Philippines",,,
Ultimate Fighting Championship,UFC 204,"October 8, 2016 (2016-10-08)",Manchester Arena,"Manchester, England","16,000","$1,960,000","290,000 "
Ultimate Fighting Championship,UFC Fight Night: Lineker vs. Dodson,"October 1, 2016 (2016-10-01)",Moda Center,"Portland, Oregon","6,240","$501,035",
Ultimate Fighting Championship,UFC Fight Night: Cyborg vs. Länsberg,"September 24, 2016 (2016-09-24)",Ginásio Nilson Nelson,"Brasília, Brazil","8,410",,
Ultimate Fighting Championship,UFC Fight Night: Poirier vs. Johnson,"September 17, 2016 (2016-09-17)",State Farm Arena,"Hidalgo, Texas","5,624","$323,419",
Ultimate Fighting Championship,UFC 203,"September 10, 2016 (2016-09-10)",Quicken Loans Arena,"Cleveland, Ohio","18,875","$2,600,000","450,000"
Ultimate Fighting Championship,UFC Fight Night: Arlovski vs. Barnett,"September 3, 2016 (2016-09-03)",Barclaycard Arena,"Hamburg, Germany","11,763","$913,428",
Ultimate Fighting Championship,UFC on Fox: Maia vs. Condit,"August 27, 2016 (2016-08-27)",Rogers Arena,"Vancouver, British Columbia, Canada","10,533","C$995,624",
Ultimate Fighting Championship,UFC 202,"August 20, 2016 (2016-08-20)",T-Mobile Arena,"Paradise, Nevada","15,539","$7,700,810","1,650,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Rodríguez vs. Caceres,"August 6, 2016 (2016-08-06)",Vivint Arena,"Salt Lake City, Utah","6,689","$481,033",
Ultimate Fighting Championship,UFC 201,"July 30, 2016 (2016-07-30)",Philips Arena,"Atlanta, Georgia","10,240","$1,070,000","240,000"
Ultimate Fighting Championship,UFC on Fox: Holm vs. Shevchenko,"July 23, 2016 (2016-07-23)",United Center,"Chicago, Illinois","10,287","$1,000,000",
Ultimate Fighting Championship,UFC Fight Night: McDonald vs. Lineker,"July 13, 2016 (2016-07-13)",Denny Sanford Premier Center,"Sioux Falls, South Dakota","5,671","$381,945",
Ultimate Fighting Championship,UFC 200,"July 9, 2016 (2016-07-09)",T-Mobile Arena,"Paradise, Nevada","18,202","$10,700,000","1,009,000[3]"
Ultimate Fighting Championship,UFC Fight Night: dos Anjos vs. Alvarez,"July 7, 2016 (2016-07-07)",MGM Grand Garden Arena,"Las Vegas, Nevada","7,760","$690,526",
Ultimate Fighting Championship,UFC Fight Night: MacDonald vs. Thompson,"June 18, 2016",TD Place Arena,"Ottawa, Ontario, Canada","10,490","$1,278,250",
Ultimate Fighting Championship,UFC 199,"June 4, 2016 (2016-06-04)",The Forum,"Inglewood, California","15,587","$2,168,675","283,000-320,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Almeida vs. Garbrandt,"May 29, 2016",Mandalay Bay Events Center,"Las Vegas, Nevada","5,193","$359,000",
Ultimate Fighting Championship,UFC 198,"May 14, 2016",Arena da Baixada,"Curitiba, Brazil","45,207",,"217,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Overeem vs. Arlovski,"May 8, 2016",Rotterdam Ahoy,"Rotterdam, Netherlands","10,421","$1,523,320",
Ultimate Fighting Championship,UFC 197,"April 23, 2016 (2016-04-23)",MGM Grand Garden Arena,"Las Vegas, Nevada","11,352 ","$2,300,000","322,000[3]"
Ultimate Fighting Championship,UFC on Fox: Teixeira vs. Evans,"April 16, 2016",Amalie Arena,"Tampa, Florida","11,273","$1,057,000",
Ultimate Fighting Championship,UFC Fight Night: Rothwell vs. dos Santos,"April 10, 2016",Arena Zagreb,"Zagreb, Croatia","13,177","$549,000",
Ultimate Fighting Championship,UFC Fight Night: Hunt vs. Mir,"March 20, 2016",Brisbane Entertainment Centre,"Brisbane, Australia","9,552","$1,000,000",
Ultimate Fighting Championship,UFC 196,"March 5, 2016 (2016-03-05)",MGM Grand Garden Arena,"Las Vegas, Nevada","14,898","$8,197,628","1,317,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Silva vs. Bisping,27 February 2016,The O2 Arena,"London, England","16,734","$2,000,000",
Ultimate Fighting Championship,UFC Fight Night: Cowboy vs. Cowboy,"February 21, 2016 (2016-02-21)",Consol Energy Center,"Pittsburgh, Pennsylvania","7,330","$572,547",
Ultimate Fighting Championship,UFC Fight Night: Hendricks vs. Thompson,"February 6, 2016 (2016-02-06)",MGM Grand Garden Arena,"Las Vegas, Nevada","7,422","$1,435,000",
Ultimate Fighting Championship,UFC on Fox: Johnson vs. Bader,"January 30, 2016 (2016-01-30)",Prudential Center,"Newark, New Jersey","10,555","$818,000",
Ultimate Fighting Championship,UFC Fight Night: Dillashaw vs. Cruz,"January 17, 2016 (2016-01-17)",TD Garden,"Boston, Massachusetts","12,790","$1,300,000",
Ultimate Fighting Championship,UFC 195,"January 2, 2016 (2016-01-02)",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,300","$2,003,986","300,000"
Ultimate Fighting Championship,UFC on Fox: dos Anjos vs. Cowboy 2,"December 19, 2015 (2015-12-19)",Amway Center,"Orlando, Florida","14,459","$1,710,000",
Ultimate Fighting Championship,UFC 194,"December 12, 2015 (2015-12-12)",MGM Grand Garden Arena,"Las Vegas, Nevada","16,516","$10,006,249","1,200,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015 (2015-12-10)",The Chelsea at The Cosmopolitan,"Las Vegas, Nevada","1,643","$234,725",
Ultimate Fighting Championship,UFC Fight Night: Henderson vs. Masvidal,"November 28, 2015 (2015-11-28)",Olympic Gymnastics Arena,"Seoul, South Korea","12,156",,
Ultimate Fighting Championship,UFC 193,14 November 2015 (2015-11-14)[1],Docklands Stadium,"Melbourne, Australia","56,214","$6,800,000","1,100,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Belfort vs. Henderson 3,"November 7, 2015",Ginásio do Ibirapuera,"São Paulo, Brazil","10,628",,
Ultimate Fighting Championship,UFC Fight Night: Holohan vs. Smolka,"October 24, 2015 (2015-10-24)",3Arena,"Dublin, Ireland","9,500",,
Ultimate Fighting Championship,UFC 192,"October 3, 2015 (2015-10-03)",Toyota Center,"Houston, Texas","14,622","$1,859,000","250,000"
Ultimate Fighting Championship,UFC Fight Night: Barnett vs. Nelson,"September 27, 2015 (2015-09-27)",Saitama Super Arena,"Saitama, Japan","10,137",,
Ultimate Fighting Championship,UFC 191,"September 5, 2015 (2015-09-05)",MGM Grand Garden Arena,"Las Vegas, Nevada","10,873","$1,362,700","115,000"
Ultimate Fighting Championship,UFC Fight Night: Holloway vs. Oliveira,"August 23, 2015 (2015-08-23)",SaskTel Centre,"Saskatoon, Saskatchewan, Canada","7,202",,
Ultimate Fighting Championship,UFC Fight Night: Teixeira vs. Saint Preux,"August 8, 2015 (2015-08-08)",Bridgestone Arena,"Nashville, Tennessee","7,539","$454,551",
Ultimate Fighting Championship,UFC 190,"August 1, 2015 (2015-08-01)",HSBC Arena,"Rio de Janeiro, Brazil","14,723",,"900,000 "
Ultimate Fighting Championship,UFC on Fox: Dillashaw vs. Barão 2,"July 25, 2015 (2015-07-25)",United Center,"Chicago, Illinois","11,663","$1,200,000",
Ultimate Fighting Championship,UFC Fight Night: Bisping vs. Leites,18 July 2015 (2015-07-18),OVO Hydro,"Glasgow, Scotland","10,451","$1,500,000",
Ultimate Fighting Championship,UFC Fight Night: Mir vs. Duffee,"July 15, 2015 (2015-07-15)",Valley View Casino Center,"San Diego, California","5,471","$412,000",
Ultimate Fighting Championship,UFC 189,"July 11, 2015 (2015-07-11)",MGM Grand Garden Arena,"Las Vegas, Nevada","16,019","$7,201,648","825,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Machida vs. Romero,"June 27, 2015 (2015-06-27)",Seminole Hard Rock Hotel and Casino,"Hollywood, Florida","5,604",,
Ultimate Fighting Championship,UFC Fight Night: Jędrzejczyk vs. Penne,"June 20, 2015 (2015-06-20)",O2 World,"Berlin, Germany","8,155",,
Ultimate Fighting Championship,UFC 188,"June 13, 2015 (2015-06-13)",Arena Ciudad de México,"Mexico City, Mexico","21,036",,"300,000"
Ultimate Fighting Championship,UFC Fight Night: Boetsch vs. Henderson,"June 6, 2015 (2015-06-06)",Smoothie King Center,"New Orleans, Louisiana","6,231","$621,523",
Ultimate Fighting Championship,UFC Fight Night: Condit vs. Alves,"May 30, 2015 (2015-05-30)",Goiânia Arena,"Goiânia, Brazil","3,500",,
Ultimate Fighting Championship,UFC 187,"May 23, 2015 (2015-05-23)",MGM Grand Garden Arena,"Las Vegas, Nevada","12,615","$5,189,623","375,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Edgar vs. Faber,"May 16, 2015 (2015-05-16)",Mall of Asia Arena,"Pasay, Philippines","13,446",,
Ultimate Fighting Championship,UFC Fight Night: Miocic vs. Hunt,10 May 2015 (2015-05-10),Adelaide Entertainment Centre,"Adelaide, Australia","7,984","$833,810",
Ultimate Fighting Championship,UFC 186,"April 25, 2015 (2015-04-25)",Bell Centre,"Montreal, Quebec, Canada","10,154","$668,000","125,000"
Ultimate Fighting Championship,UFC on Fox: Machida vs. Rockhold,"April 18, 2015 (2015-04-18)",Prudential Center,"Newark, New Jersey","13,306","$1,200,000",
Ultimate Fighting Championship,UFC Fight Night: Gonzaga vs. Cro Cop 2,"April 11, 2015 (2015-04-11)",Tauron Arena Kraków,"Kraków, Poland","10,000","$720,000",
Ultimate Fighting Championship,UFC Fight Night: Mendes vs. Lamas,"April 4, 2015 (2015-04-04)",Patriot Center,"Fairfax, Virginia","5,417","$545,604",
Ultimate Fighting Championship,UFC Fight Night: Maia vs. LaFlare,"March 21, 2015 (2015-03-21)",Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","7,707",,
Ultimate Fighting Championship,UFC 185,"March 14, 2015 (2015-03-14)",American Airlines Center,"Dallas, Texas","14,298","$2,155,630","310,000"
Ultimate Fighting Championship,UFC 184,"February 28, 2015 (2015-02-28)",Staples Center,"Los Angeles, California","16,577","$2,675,560","600,000"
Ultimate Fighting Championship,UFC Fight Night: Bigfoot vs. Mir,"February 22, 2015 (2015-02-22)",Ginásio Gigantinho,"Porto Alegre, Brazil","5,080",,
Ultimate Fighting Championship,UFC Fight Night: Henderson vs. Thatch,"February 14, 2015 (2015-02-14)",1stBank Center,"Broomfield, Colorado","5,807","$382,875",
Ultimate Fighting Championship,UFC 183,"January 31, 2015 (2015-01-31)",MGM Grand Garden Arena,"Las Vegas, Nevada","13,114","$4,500,000","650,000"
Ultimate Fighting Championship,UFC on Fox: Gustafsson vs. Johnson,"January 24, 2015 (2015-01-24)",Tele2 Arena,"Stockholm, Sweden","30,000",$3.1 million,
Ultimate Fighting Championship,UFC Fight Night: McGregor vs. Siver,"January 18, 2015 (2015-01-18)",TD Garden,"Boston, Massachusetts","13,828","$1,340,000",
Ultimate Fighting Championship,UFC 182,"January 3, 2015 (2015-01-03)",MGM Grand Garden Arena,"Las Vegas, Nevada","11,575","$3,700,000","800,000"
Ultimate Fighting Championship,UFC Fight Night: Machida vs. Dollaway,"December 20, 2014 (2014-12-20)",Ginásio José Corrêa,"Barueri, Brazil",,,
Ultimate Fighting Championship,UFC on Fox: dos Santos vs. Miocic,"December 13, 2014 (2014-12-13)",U.S. Airways Center,"Phoenix, Arizona","15,350",$1.5 million,
Ultimate Fighting Championship,UFC 181,"December 6, 2014 (2014-12-06)",Mandalay Bay Events Center,"Las Vegas, Nevada","11,617",$2.488 million,"400,000"
Ultimate Fighting Championship,UFC Fight Night: Edgar vs. Swanson,"November 22, 2014",Frank Erwin Center,"Austin, Texas","10,131","$670,022",
Ultimate Fighting Championship,UFC 180,"November 15, 2014 (2014-11-15)",Arena Ciudad de México,"Mexico City, Mexico","21,000",,"185,000"
Ultimate Fighting Championship,UFC Fight Night: Shogun vs. Saint Preux,"November 8, 2014 (2014-11-08)",Ginásio Municipal Tancredo Neves,"Uberlândia, Brazil","5,671",,
Ultimate Fighting Championship,UFC Fight Night: Rockhold vs. Bisping,"November 8, 2014 (2014-11-08)",Allphones Arena,"Sydney, Australia","9,904",$1.5 million,
Ultimate Fighting Championship,UFC 179,"October 25, 2014 (2014-10-25)",Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","11,415",,"180,000"
Ultimate Fighting Championship,UFC Fight Night: MacDonald vs. Saffiedine,"October 4, 2014 (2014-10-04)",Scotiabank Centre,"Halifax, Nova Scotia, Canada","10,782","$926,000",
Ultimate Fighting Championship,UFC Fight Night: Nelson vs. Story,"October 4, 2014 (2014-10-04)",Ericsson Globe Arena,"Stockholm, Sweden","10,026",$1.1 million,
Ultimate Fighting Championship,UFC 178,"September 27, 2014 (2014-09-27)",MGM Grand Garden Arena,"Las Vegas, Nevada","14,544",$2.2 million,"205,000[3]"
Ultimate Fighting Championship,UFC Fight Night: Hunt vs. Nelson,"September 20, 2014 (2014-09-20)",Saitama Super Arena,"Saitama, Japan","12,395",,
Ultimate Fighting Championship,UFC Fight Night: Bigfoot vs. Arlovski,"September 13, 2014 (2014-09-13)",Ginásio Nilson Nelson,"Brasília, Brazil","8,822",,
Ultimate Fighting Championship,UFC Fight Night: Jacaré vs. Mousasi,"September 5, 2014 (2014-09-05)",Foxwoods Resort Casino,"Mashantucket, Connecticut","4,086","$479,620",
Ultimate Fighting Championship,UFC 177,"August 30, 2014 (2014-08-30)",Sleep Train Arena,"Sacramento, California","11,100","$700,000","125,000"
Ultimate Fighting Championship,UFC Fight Night: Henderson vs. dos Anjos,"August 23, 2014 (2014-08-23)",BOK Center,"Tulsa, Oklahoma","7,119","$452,075",
Ultimate Fighting Championship,UFC Fight Night: Bisping vs. Le,"August 23, 2014 (2014-08-23)",CotaiArena,"Macau, SAR, China","7,022",,
Ultimate Fighting Championship,UFC Fight Night: Bader vs. Saint Preux,"August 16, 2014 (2014-08-16)",Cross Insurance Center,"Bangor, Maine","5,329","$321,470",
Ultimate Fighting Championship,UFC 176,"August 2, 2014 (cancelled)",Staples Center,"Los Angeles, California",,,
Ultimate Fighting Championship,UFC on Fox: Lawler vs. Brown,"July 26, 2014 (2014-07-26)",SAP Center,"San Jose, California","11,482","$735,317",
Ultimate Fighting Championship,UFC Fight Night: McGregor vs. Brandão,"July 19, 2014 (2014-07-19)",The O2,"Dublin, Ireland","9,500",$1.4 million,
Ultimate Fighting Championship,UFC Fight Night: Cowboy vs. Miller,"July 16, 2014 (2014-07-16)",Revel Casino Hotel,"Atlantic City, New Jersey","4,115",,
Ultimate Fighting Championship,UFC 175,"July 5, 2014 (2014-07-05)",Mandalay Bay Events Center,"Las Vegas, Nevada","10,988","$4,400,000","545,000"
Ultimate Fighting Championship,UFC Fight Night: Swanson vs. Stephens,"June 28, 2014 (2014-06-28)",AT&T Center,"San Antonio, Texas","9,227","$728,358",
Ultimate Fighting Championship,UFC Fight Night: Te Huna vs. Marquardt,"June 28, 2014 (2014-06-28)",Vector Arena,"Auckland, New Zealand","8,089","$913,000",
Ultimate Fighting Championship,UFC 174,"June 14, 2014 (2014-06-14)",Rogers Arena,"Vancouver, British Columbia, Canada","13,506",$1.14 million,"115,000"
Ultimate Fighting Championship,UFC Fight Night: Henderson vs. Khabilov,"June 7, 2014 (2014-06-07)",Tingley Coliseum,"Albuquerque, New Mexico","8,775","$697,901",
Ultimate Fighting Championship,UFC Fight Night: Muñoz vs. Mousasi,"May 31, 2014 (2014-05-31)",O2 World,"Berlin, Germany","8,000",,
Ultimate Fighting Championship,UFC 173,"May 24, 2014 (2014-05-24)",MGM Grand Garden Arena,"Las Vegas, Nevada","13,936",$1.7 million,"215,000 "
Ultimate Fighting Championship,UFC Fight Night: Brown vs. Silva,"May 10, 2014 (2014-05-10)",U.S. Bank Arena,"Cincinnati, Ohio","6,143","$415,000",
Ultimate Fighting Championship,UFC 172,"April 26, 2014 (2014-04-26)",Baltimore Arena,"Baltimore, Maryland","13,485",$2.3 million,"350,000 "
Ultimate Fighting Championship,UFC on Fox: Werdum vs. Browne,"April 19, 2014",Amway Center,"Orlando, Florida","14,410","$1,651,776",
Ultimate Fighting Championship,UFC Fight Night: Nogueira vs. Nelson,"April 11, 2014 (2014-04-11)",du Arena,"Abu Dhabi, United Arab Emirates","7,963","$1,800,000",
Ultimate Fighting Championship,UFC Fight Night: Shogun vs. Henderson 2,"March 23, 2014 (2014-03-23)",Ginásio Nélio Dias,"Natal, Brazil","6,828",,
Ultimate Fighting Championship,UFC 171,"March 15, 2014 (2014-03-15)",American Airlines Center,"Dallas, Texas","19,324","$2,600,000","300,000 "
Ultimate Fighting Championship,UFC Fight Night: Gustafsson vs. Manuwa,"March 8, 2014 (2014-03-08)",The O2 Arena,"London, England","14,604","$2,000,056",
Ultimate Fighting Championship,UFC 170,"February 22, 2014 (2014-02-22)",Mandalay Bay Events Center,"Las Vegas, Nevada","10,217","$1,558,870","340,000"
Ultimate Fighting Championship,UFC Fight Night: Machida vs. Mousasi,"February 15, 2014",Arena Jaraguá,"Jaraguá do Sul, Brazil","7,511",,
Ultimate Fighting Championship,UFC 169,"February 1, 2014 (2014-02-01)",Prudential Center,"Newark, New Jersey","14,308",$1.651 million,"230,000"
Ultimate Fighting Championship,UFC on Fox: Henderson vs. Thomson,"January 25, 2014",United Center,"Chicago, Illinois","10,895","$863,655",
Ultimate Fighting Championship,UFC Fight Night: Rockhold vs. Philippou,"January 15, 2014",The Arena at Gwinnett Center,"Duluth, Georgia","5,822","$231,951",
Ultimate Fighting Championship,UFC Fight Night: Saffiedine vs. Lim,"January 4, 2014",Marina Bay Sands,"Marina Bay, Singapore","5,216",,
Ultimate Fighting Championship,UFC 168,"December 28, 2013",MGM Grand Garden Arena,"Las Vegas, Nevada","15,650","$6,238,792","1,025,000[3]"
Ultimate Fighting Championship,UFC on Fox: Johnson vs. Benavidez 2,"December 14, 2013",Sleep Train Arena,"Sacramento, California","11,573","$1,066,610",
Ultimate Fighting Championship,UFC Fight Night: Hunt vs. Bigfoot,"December 6, 2013",Brisbane Entertainment Centre,"Brisbane, Queensland, Australia","11,393",$1.785 million,
Ultimate Fighting Championship,UFC 167,"November 16, 2013",MGM Grand Garden Arena,"Las Vegas, Nevada","14,856","$5,759,350","630,000"
Ultimate Fighting Championship,UFC Fight Night: Belfort vs. Henderson 2,"November 9, 2013",Goiânia Arena,"Goiânia, Brazil","10,565",,
Ultimate Fighting Championship,UFC Fight Night: Machida vs. Muñoz,"October 26, 2013",Phones 4u Arena,"Manchester, United Kingdom","10,355",$1.5 million,
Ultimate Fighting Championship,UFC 166,"October 19, 2013",Toyota Center,"Houston, Texas","17,238",$2.5 million,"330,000"
Ultimate Fighting Championship,UFC Fight Night: Maia vs. Shields,"October 9, 2013",Ginásio José Corrêa,"Barueri, Brazil","6,621",,
Ultimate Fighting Championship,UFC 165,"September 21, 2013",Air Canada Centre,"Toronto, Ontario, Canada","15,504",$1.9 million,"310,000"
Ultimate Fighting Championship,UFC Fight Night: Teixeira vs. Bader,"September 4, 2013",Mineirinho Arena,"Belo Horizonte, Brazil","5,126",,
Ultimate Fighting Championship,UFC 164,"August 31, 2013",BMO Harris Bradley Center,"Milwaukee, Wisconsin","9,178","$907,116","270,000"
Ultimate Fighting Championship,UFC Fight Night: Condit vs. Kampmann 2,"August 28, 2013",Bankers Life Fieldhouse,"Indianapolis, Indiana","6,417","$355,290",
Ultimate Fighting Championship,UFC Fight Night: Shogun vs. Sonnen,"August 17, 2013",TD Garden,"Boston, Massachusetts","14,181","$1,534,000",
Ultimate Fighting Championship,UFC 163,"August 3, 2013",HSBC Arena,"Rio De Janeiro, Brazil","13,873",,"180,000"
Ultimate Fighting Championship,UFC on Fox: Johnson vs. Moraga,"July 27, 2013",KeyArena,"Seattle, Washington","8,967","$700,081",
Ultimate Fighting Championship,UFC 162,"July 6, 2013",MGM Grand Garden Arena,"Las Vegas, Nevada","12,964",$4.826 million,"550,000"
Ultimate Fighting Championship,UFC 161,"June 15, 2013",MTS Centre,"Winnipeg, Manitoba, Canada","14,754",$3.15 million,"140,000"
Ultimate Fighting Championship,UFC 160,"May 25, 2013",MGM Grand Garden Arena,"Las Vegas, Nevada","13,880",$2.942 million,"380,000"
Ultimate Fighting Championship,UFC on FX: Belfort vs. Rockhold,"May 18, 2013",Arena Jaraguá,"Jaraguá do Sul, Brazil","7,642",,
Ultimate Fighting Championship,UFC 159,"April 27, 2013",Prudential Center,"Newark, New Jersey","15,227","$2,700,000","530,000"
Ultimate Fighting Championship,2013 in UFC,"January 19, 2013",Ginásio do Ibirapuera,13,"9,116[33]",$1.333 million[24],
Ultimate Fighting Championship,UFC on Fuel TV: Mousasi vs. Latifi,"April 6, 2013",Ericsson Globe Arena,"Stockholm, Sweden","14,506","$2,710,530",
Ultimate Fighting Championship,UFC 158,"March 16, 2013",Bell Centre,"Montreal, Quebec, Canada","20,145","$3,630,166 ","950,000"
Ultimate Fighting Championship,UFC on Fuel TV: Silva vs. Stann,"March 3, 2013",Saitama Super Arena,"Saitama, Japan","14,682",,
Ultimate Fighting Championship,UFC 157,"February 23, 2013",Honda Center,"Anaheim, California","13,257","1,350,191","450,000"
Ultimate Fighting Championship,UFC on Fuel TV: Barão vs. McDonald,"February 16, 2013",Wembley Arena,"London, United Kingdom","10,349","$1,300,000",
Ultimate Fighting Championship,UFC 156,"February 2, 2013",Mandalay Bay Events Center,"Paradise, Nevada","10,875","$2,437,150","330,000"
Ultimate Fighting Championship,UFC on Fox: Johnson vs. Dodson,"January 26, 2013",United Center,"Chicago, Illinois","16,091","$1,270,000",
Ultimate Fighting Championship,2013 in UFC,"January 19, 2013",Ginásio do Ibirapuera,13,"9,116[33]",$1.333 million[24],
Ultimate Fighting Championship,UFC 155,"December 29, 2012",MGM Grand Garden Arena,"Las Vegas, Nevada","13,561","$3,286,025","590,000"
Ultimate Fighting Championship,UFC on Fox: Henderson vs. Diaz,"December 8, 2012",KeyArena,"Seattle, Washington","14,387","$1,522,600",
